File,Start(s),End(s),Duration(s)
killer-whale-orcinus-orca.wav,1.72,1.97,0.26
killer-whale-orcinus-orca.wav,6.52,7.01,0.49
killer-whale-orcinus-orca.wav,9.29,9.5,0.21
killer-whale-orcinus-orca.wav,9.57,9.78,0.21
killer-whale-orcinus-orca.wav,9.82,11.75,1.93
killer-whale-orcinus-orca.wav,15.49,15.65,0.16
killer-whale-orcinus-orca.wav,18.95,19.13,0.19
killer-whale-orcinus-orca.wav,21.06,21.48,0.42
killer-whale-orcinus-orca.wav,22.18,22.92,0.74
killer-whale-orcinus-orca.wav,23.01,23.17,0.16
killer-whale-orcinus-orca.wav,26.24,26.49,0.26
killer-whale-orcinus-orca.wav,26.61,26.84,0.23
killer-whale-orcinus-orca.wav,26.94,27.19,0.26
killer-whale-orcinus-orca.wav,30.19,30.46,0.28
killer-whale-orcinus-orca.wav,33.04,33.97,0.93
killer-whale-orcinus-orca.wav,36.64,37.01,0.37
killer-whale-orcinus-orca.wav,38.61,39.08,0.46
killer-whale-orcinus-orca.wav,40.36,40.54,0.19
killer-whale-orcinus-orca.wav,40.75,41.49,0.74
killer-whale-orcinus-orca.wav,44.4,44.72,0.33
killer-whale-orcinus-orca.wav,44.98,45.67,0.7
killer-whale-orcinus-orca.wav,48.97,49.41,0.44
killer-whale-orcinus-orca.wav,52.62,52.78,0.16
killer-whale-orcinus-orca.wav,52.85,53.15,0.3
killer-whale-orcinus-orca.wav,53.17,53.34,0.16
